lauf#	pi_Wert
4770000	3.1416394129979035
4780000	3.1416334728033473
4790000	3.1416200417536535
4800000	3.1416341666666665
4810000	3.141685654885655
4820000	3.141668049792531
4830000	3.1416149068322983
4840000	3.141674380165289
4850000	3.141699793814433
4860000	3.1416946502057614
4870000	3.141683778234086
4880000	3.141690163934426
4890000	3.1417063394683025
4900000	3.141736326530612
4910000	3.1417441955193484
4920000	3.141742276422764
4930000	3.141737119675456
4940000	3.1416906882591094
4950000	3.141629090909091
4960000	3.1417048387096775
4970000	3.1417038229376257
4980000	3.1417373493975904
4990000	3.141799599198397
5000000	3.1417616
5010000	3.1417620758483036
5020000	3.1417705179282867
5030000	3.1417741550695824
5040000	3.1417698412698414
5050000	3.1417314851485147
5060000	3.141788932806324
5070000	3.141753057199211
5080000	3.141746456692913
5090000	3.141753241650295
5100000	3.141772549019608
5110000	3.141755772994129
5120000	3.1417828125
5130000	3.14178089668616
5140000	3.141782101167315
5150000	3.1417467961165046
5160000	3.141689147286822
5170000	3.1416526112185688
5180000	3.1416277992277992
5190000	3.1416269749518304
5200000	3.1416376923076923
5210000	3.141606142034549
5220000	3.141613026819923
5230000	3.141661950286807
5240000	3.1416190839694655
5250000	3.141625142857143
5260000	3.1415916349809887
5270000	3.141610626185958
5280000	3.141651515151515
5290000	3.1416415879017014
5300000	3.141703396226415
5310000	3.1416760828625234
5320000	3.141669172932331
5330000	3.141717823639775
5340000	3.1417168539325844
5350000	3.141701682242991
5360000	3.1417350746268657
5370000	3.1416945996275607
5380000	3.1416513011152416
5390000	3.141679406307978
5400000	3.141717037037037
5410000	3.1417293900184844
5420000	3.14170036900369
5430000	3.1416758747697973
5440000	3.1417198529411765
5450000	3.1417225688073396
5460000	3.141736263736264
5470000	3.1417045703839124
5480000	3.1417
5490000	3.1417260473588344
5500000	3.1416632727272726
5510000	3.1416842105263156
5520000	3.14166884057971
5530000	3.1416101265822785
5540000	3.14162238267148
5550000	3.141729009009009
5560000	3.141694964028777
5570000	3.1417091561938957
5580000	3.141711827956989
5590000	3.1417330948121647
5600000	3.1417314285714286
5610000	3.1416976827094474
5620000	3.1416811387900356
5630000	3.141680994671403
5640000	3.1416574468085106
5650000	3.1416446017699116
5660000	3.1416487632508834
5670000	3.141622574955908
5680000	3.1416169014084505
5690000	3.14159086115993
5700000	3.1415992982456142
5710000	3.1415873905429073
5720000	3.1416258741258742
5730000	3.1416760907504364
5740000	3.1416752613240417
5750000	3.141632695652174
5760000	3.1416555555555554
5770000	3.1416235701906414
5780000	3.141711418685121
5790000	3.141734715025907
5800000	3.1417096551724137
5810000	3.141767986230637
5820000	3.141745704467354
5830000	3.1417283018867925
5840000	3.1417102739726026
5850000	3.1417381196581196
5860000	3.141715358361775
5870000	3.1417328790459966
5880000	3.1417333333333333
5890000	3.1417222410865873
5900000	3.141749152542373
5910000	3.141768527918782
5920000	3.141775675675676
5930000	3.14178347386172
5940000	3.141840404040404
5950000	3.1418252100840336
5960000	3.1418288590604027
5970000	3.141835175879397
5980000	3.1418635451505015
5990000	3.141844407345576
6000000	3.141872
6010000	3.141908153078203
6020000	3.141880398671096
6030000	3.1418713101160862
6040000	3.141881456953642
6050000	3.1418922314049587
6060000	3.1419135313531354
6070000	3.1419011532125207
6080000	3.141883552631579
6090000	3.1419224958949097
6100000	3.1419540983606558
6110000	3.1419509001636663
6120000	3.1419359477124185
6130000	3.1419021207177815
6140000	3.1418495114006513
6150000	3.141889430894309
6160000	3.1418753246753246
6170000	3.14187358184765
6180000	3.1418446601941747
6190000	3.141847495961228
6200000	3.1417993548387098
6210000	3.141770692431562
6220000	3.1417877813504824
6230000	3.141791974317817
6240000	3.1418474358974358
6250000	3.14187776
6260000	3.1418792332268373
6270000	3.141878149920255
6280000	3.1419019108280253
6290000	3.141893799682035
6300000	3.1418971428571427
6310000	3.14191822503962
6320000	3.1418822784810128
6330000	3.141826224328594
6340000	3.1418271293375395
